C_CUSTKEY,C_FNAME,C_LNAME,C_ADDRESS,C_COUNTY,C_CITY,C_STATE,C_ZIP,C_PHONE,C_EMAIL,C_AGE,C_GENDER,C_ACCTBAL,C_MKTSEGMENT,C_COMMENT,C_NATIONKEY,C_EMAIL_VISIBILITY
40,Kati,Rulapaugh,6980 Dorsett Rd,Abilene,Dickinson,KS,67410,785-463-7829,kati.rulapaugh@hotmail.com,65,M,1335.30,BUILDING,rges impress after the slyly ironic courts. foxes are. blithely,3,Public
42,Dyan,Oldroyd,7219 Woodfield Rd,Overland Park,Johnson,KS,66204,913-413-4604,doldroyd@aol.com,49,M,8727.01,BUILDING,"ssly according to the pinto beans: carefully special requests across the even, pending accounts wake special",5,Public
44,Lavera,Perin,678 3rd Ave,Miami,Miami-Dade,FL,33196,305-606-7291,lperin@perin.org,47,M,7315.94,AUTOMOBILE,"r requests around the unusual, bold a",16,Public
46,Fatima,Saylors,2 Lighthouse Ave,Hopkins,Hennepin,MN,55343,952-768-2416,fsaylors@saylors.org,47,M,5744.59,AUTOMOBILE,"ctions. accounts sleep furiously even requests. regular, regular accounts cajole blithely around the final pa",6,Public
48,Kanisha,Waycott,5 Tomahawk Dr,Los Angeles,Los Angeles,CA,90006,323-453-2780,kanisha_waycott@yahoo.com,22,F,3792.50,BUILDING,"re fluffily pending foxes. pending, bold platelets sleep slyly. even platelets cajo",0,Public
50,Blair,Malet,209 Decker Dr,Philadelphia,Philadelphia,PA,19132,215-907-9111,bmalet@yahoo.com,63,M,4266.13,MACHINERY,ts. furiously ironic accounts cajole furiously slyly ironic dinos.,6,Public
52,Lorrie,Nestle,39 S 7th St,Tullahoma,Coffee,TN,37388,931-875-6644,lnestle@hotmail.com,48,F,5630.28,HOUSEHOLD,ic platelets use evenly even accounts. stealthy theodolites cajole furiou,11,Public
54,Marjory,Mastella,71 San Mateo Ave,Wayne,Delaware,PA,19087,610-814-5533,mmastella@mastella.com,32,F,868.90,AUTOMOBILE,"sual, silent accounts. furiously express accounts cajole special deposits. final, final accounts use furi",4,Public
56,Tonette,Wenner,4545 Courthouse Rd,Westbury,Nassau,NY,11590,516-968-6051,twenner@aol.com,31,M,6530.86,FURNITURE,. notornis wake carefully. carefully fluffy requests are furiously even accounts. slyly expre,10,Public
58,Shenika,Seewald,4 Otis St,Van Nuys,Los Angeles,CA,91405,818-423-4007,shenika@gmail.com,60,F,6478.46,HOUSEHOLD,"ideas. ironic ideas affix furiously express, final instructions. regular excuses use quickly e",13,Public
60,Deeanna,Juhas,14302 Pennsylvania Ave,Huntingdon Valley,Montgomery,PA,19006,215-211-9589,deeanna_juhas@gmail.com,30,F,2741.87,MACHINERY,latelets. blithely unusual courts boost furiously about the packages. blithely final instruct,12,Public
62,Jamal,Vanausdal,53075 Sw 152nd Ter #615,Monroe Township,Middlesex,NJ,8831,732-234-1546,jamal@vanausdal.org,31,M,595.61,MACHINERY,kly special dolphins. pinto beans are slyly. quickly regular accounts are furiously a,7,Public
64,Carmelina,Lindall,2664 Lewis Rd,Littleton,Douglas,CO,80126,303-724-7371,carmelina_lindall@lindall.com,42,F,-646.64,BUILDING,structions after the quietly ironic theodolites cajole be,3,Public
66,Tawna,Buvens,3305 Nabell Ave #679,New York,New York,NY,10009,212-674-9610,tawna@gmail.com,30,F,242.77,HOUSEHOLD,le slyly accounts. carefully silent packages benea,22,Public
68,Elly,Morocco,7 W 32nd St,Erie,Erie,PA,16502,814-393-5571,elly_morocco@gmail.com,74,F,6853.37,HOUSEHOLD,pending pinto beans impress realms. final dependencies,12,Public
70,Vallie,Mondella,74 W College St,Boise,Ada,ID,83707,208-862-5339,vmondella@mondella.com,31,M,4867.52,FURNITURE,fter the special asymptotes. ideas after the unusual frets cajole quickly regular pinto be,22,Public
72,Johnetta,Abdallah,1088 Pinehurst St,Chapel Hill,Orange,NC,27514,919-225-9345,johnetta_abdallah@aol.com,48,F,-362.86,FURNITURE,ithely final foxes sleep always quickly bold accounts. final wat,2,Public
74,Micaela,Rhymes,20932 Hedley St,Concord,Contra Costa,CA,94520,925-647-3298,micaela_rhymes@gmail.com,62,F,2764.43,MACHINERY,onic accounts. blithely slow packages would haggle carefully. qui,4,Public
76,Moon,Parlato,74989 Brandon St,Wellsville,Allegany,NY,14895,585-866-8313,moon@yahoo.com,27,M,5745.33,FURNITURE,pecial deposits. ironic ideas boost blithely according to the closely ironic theodolites! furiously final deposits n,0,Public
78,Delisa,Crupi,47565 W Grand Ave,Newark,Essex,NJ,7105,973-354-2040,delisa.crupi@crupi.com,49,M,7136.97,FURNITURE,ests. blithely bold pinto beans h,9,Public
80,Elza,Lipke,6794 Lake Dr E,Newark,Essex,NJ,7104,973-927-3447,elza@yahoo.com,59,M,7383.53,FURNITURE,tect among the dependencies. bold accounts engage closely even pinto beans. ca,0,Public
82,Timothy,Mulqueen,44 W 4th St,Staten Island,Richmond,NY,10309,718-332-6527,timothy_mulqueen@mulqueen.org,47,M,9468.34,AUTOMOBILE,s wake. bravely regular accounts are furiously. regula,18,Public
84,Dominque,Dickerson,69 Marquette Ave,Hayward,Alameda,CA,94545,510-993-3758,dominque.dickerson@dickerson.org,20,F,5174.71,FURNITURE,ly blithe foxes. special asymptotes haggle blithely against the furiously regular depo,11,Public
86,Myra,Munns,461 Prospect Pl #316,Euless,Tarrant,TX,76040,817-914-7518,mmunns@cox.net,35,M,3306.32,HOUSEHOLD,quests. pending dugouts are carefully aroun,0,Public
88,Lai,Gato,37 Alabama Ave,Evanston,Cook,IL,60201,847-728-7286,lai.gato@gato.org,22,F,8031.44,AUTOMOBILE,s are quickly above the quickly ironic instructions; even requests about the carefully final deposi,16,Public
90,Tyra,Shields,3 Fort Worth Ave,Philadelphia,Philadelphia,PA,19106,215-255-1641,tshields@gmail.com,73,M,7354.23,BUILDING,sly across the furiously even,16,Public
92,Cory,Gibes,83649 W Belmont Ave,San Gabriel,Los Angeles,CA,91776,626-572-1096,cory.gibes@gmail.com,70,F,1182.91,MACHINERY,. pinto beans hang slyly final deposits. ac,2,Public
94,Wilda,Giguere,1747 Calle Amanecer #2,Anchorage,Anchorage,AK,99501,907-870-5536,wilda@cox.net,41,M,5500.11,HOUSEHOLD,"latelets across the bold, final requests sleep according to the fluffily bold accounts. unusual deposits amon",9,Public
96,Carma,Vanheusen,68556 Central Hwy,San Leandro,Alameda,CA,94577,510-503-7169,carma@cox.net,51,M,6323.92,AUTOMOBILE,press requests believe furiously. carefully final instructions snooze carefully.,8,Public
98,Natalie,Fern,7140 University Ave,Rock Springs,Sweetwater,WY,82901,307-704-8713,natalie.fern@hotmail.com,61,M,-551.37,BUILDING,ages. furiously pending accounts are quickly carefully final foxes: busily pe,12,Public
100,Arlene,Klusman,3 Secor Rd,New Orleans,Orleans,LA,70112,504-710-5840,arlene_klusman@gmail.com,74,F,9889.89,FURNITURE,"was furiously fluffily quiet deposits. silent, pending requests boost against ",20,Public
102,Louisa,Cronauer,524 Louisiana Ave Nw,San Leandro,Alameda,CA,94577,510-828-7047,louisa@cronauer.com,60,F,8462.17,BUILDING,ously regular dependencies nag among the furiously express dinos. blithely final,19,Public
104,Cyndy,Goldammer,170 Wyoming Ave,Burnsville,Dakota,MN,55337,952-334-9408,cgoldammer@cox.net,74,F,-588.38,FURNITURE,rate carefully slyly special pla,10,Public
106,Celeste,Korando,7 W Pinhook Rd,Lynbrook,Nassau,NY,11563,516-509-2347,ckorando@hotmail.com,39,M,3288.42,MACHINERY,"lose slyly. ironic accounts along the evenly regular theodolites wake about the special, final gifts. ",1,Public
108,Estrella,Samu,64 Lakeview Ave,Beloit,Rock,WI,53511,608-976-7199,estrella@aol.com,66,F,2259.38,BUILDING,"refully ironic deposits sleep. regular, unusual requests wake slyly",5,Public
110,Tiffiny,Steffensmeier,32860 Sierra Rd,Miami,Miami-Dade,FL,33133,305-385-9695,tiffiny_steffensmeier@cox.net,30,F,7462.99,AUTOMOBILE,"nto beans cajole around the even, final deposits. quickly bold packages according to the furiously regular dept",10,Public
112,Sue,Kownacki,2 Se 3rd Ave,Mesquite,Dallas,TX,75149,972-666-3413,sue@aol.com,45,M,2953.35,FURNITURE,rmanently unusual multipliers. blithely ruthless deposits are furiously along the,19,Public
114,Rolland,Francescon,2726 Charcot Ave,Paterson,Passaic,NJ,7501,973-649-2922,rolland@cox.net,67,M,1027.46,FURNITURE,der the carefully express theodolites are after the packages. packages are. bli,14,Public
116,Glory,Kulzer,55892 Jacksonville Rd,Owings Mills,Baltimore,MD,21117,410-224-9462,gkulzer@kulzer.org,21,M,8403.99,BUILDING,"as. quickly final sauternes haggle slyly carefully even packages. brave, ironic pinto beans are above the furious",16,Public
118,Brandon,Callaro,7 Benton Dr,Honolulu,Honolulu,HI,96819,808-215-6832,brandon_callaro@hotmail.com,32,F,3582.37,AUTOMOBILE,uick packages alongside of the furiously final deposits haggle above the fluffily even foxes. blithely dogged dep,18,Public
120,Oretha,Menter,8 County Center Dr #647,Boston,Suffolk,MA,2210,617-418-5043,oretha_menter@yahoo.com,66,F,363.75,MACHINERY,quickly. slyly ironic requests cajole blithely furiously final dependen,12,Public
122,Xuan,Rochin,2 Monroe St,San Mateo,San Mateo,CA,94403,650-933-5072,xuan@gmail.com,28,F,7865.46,HOUSEHOLD,the special packages hinder blithely around the permanent requests. bold depos,3,Public
124,Devora,Perez,72868 Blackington Ave,Oakland,Alameda,CA,94606,510-955-3016,devora_perez@perez.org,58,F,1842.49,AUTOMOBILE,le fluffily even dependencies. quietly s,18,Public
126,Rory,Papasergi,83 County Road 437 #8581,Clarks Summit,Lackawanna,PA,18411,570-867-7489,rpapasergi@cox.net,42,F,1001.39,HOUSEHOLD,"s about the even instructions boost carefully furiously ironic pearls. ruthless, ",22,Public
128,Van,Shire,90131 J St,Pittstown,Hunterdon,NJ,8867,908-409-2890,van.shire@shire.com,28,F,-986.96,HOUSEHOLD,ing packages integrate across the slyly unusual dugouts. blithely silent ideas sublate carefully. blithely expr,4,Public
130,Bok,Isaacs,6 Gilson St,Bronx,Bronx,NY,10468,718-809-3762,bok.isaacs@aol.com,70,F,5073.58,HOUSEHOLD,ix slowly. express packages along the furiously ironic requests integrate daringly deposits. fur,9,Public
132,Howard,Paulas,866 34th Ave,Denver,Denver,CO,80231,303-623-4241,hpaulas@gmail.com,61,M,162.57,HOUSEHOLD,uickly carefully special theodolites. carefully regular requests against the blithely unusual instructions,4,Public
134,Thurman,Manno,9387 Charcot Ave,Absecon,Atlantic,NJ,8201,609-524-3586,thurman.manno@yahoo.com,35,M,4608.90,BUILDING,yly fluffy foxes boost final ideas. b,11,Public
136,Beatriz,Corrington,481 W Lemon St,Middleboro,Plymouth,MA,2346,508-584-4279,beatriz@yahoo.com,45,M,-842.39,FURNITURE,"ackages sleep ironic, final courts. even requests above the blithely bold requests g",7,Public
138,Nieves,Gotter,4940 Pulaski Park Dr,Portland,Multnomah,OR,97202,503-527-5274,nieves_gotter@gmail.com,56,F,430.59,MACHINERY,ts doze on the busy ideas. regular,5,Public
140,Valentin,Klimek,137 Pioneer Way,Chicago,Cook,IL,60604,312-303-5453,vklimek@klimek.org,32,F,9963.15,MACHINERY,ies detect slyly ironic accounts. slyly ironic theodolites hag,4,Public
142,Sheridan,Zane,2409 Alabama Rd,Riverside,Riverside,CA,92501,951-645-3605,sheridan.zane@zane.com,62,F,2209.81,AUTOMOBILE,". even, express theodolites upo",9,Public
144,Audra,Kohnert,134 Lewis Rd,Nashville,Davidson,TN,37211,615-406-7854,audra@kohnert.com,66,F,6417.31,MACHINERY,"ges. slyly regular accounts are slyly. bold, idle reque",1,Public
146,Fernanda,Jillson,60480 Old Us Highway 51,Preston,Caroline,MD,21655,410-387-5260,fjillson@aol.com,72,F,3328.68,FURNITURE,ffily regular dinos are slyly unusual requests. slyly specia,3,Public
148,Chau,Kitzman,429 Tiger Ln,Beverly Hills,Los Angeles,CA,90212,310-560-8022,chau@gmail.com,51,M,2135.60,HOUSEHOLD,ing to the carefully ironic requests. carefully regular dependencies about the theodolites wake furious,11,Public
150,Cheryl,Haroldson,92 Main St,Atlantic City,Atlantic,NJ,8401,609-518-7697,cheryl@haroldson.org,56,F,3849.48,MACHINERY,ole blithely among the furiously pending packages. furiously bold ideas wake fluffily ironic idea,18,Public
152,Carissa,Batman,12270 Caton Center Dr,Eugene,Lane,OR,97401,541-326-4074,carissa.batman@yahoo.com,57,M,1215.18,BUILDING,ously ironic accounts. furiously even accounts accord,8,Public
154,Ozell,Shealy,8 Industry Ln,New York,New York,NY,10002,212-332-8435,oshealy@hotmail.com,66,F,4695.12,FURNITURE,nic packages haggle blithely across the,19,Public
156,Reita,Leto,55262 N French Rd,Indianapolis,Marion,IN,46240,317-234-1135,reita.leto@gmail.com,54,F,9302.95,AUTOMOBILE,regular foxes above the theodolites haggle,9,Public
158,Lizette,Stem,501 N 19th Ave,Cherry Hill,Camden,NJ,8002,856-487-5412,lizette.stem@aol.com,37,M,6160.95,AUTOMOBILE,ecoys. fluffily quick requests use flu,10,Public
160,Carin,Deleo,1844 Southern Blvd,Little Rock,Pulaski,AR,72202,501-308-1040,cdeleo@deleo.com,70,F,4363.17,MACHINERY,olites. silently ironic accounts cajole furious,13,Public
162,Dierdre,Yum,63381 Jenks Ave,Philadelphia,Philadelphia,PA,19134,215-325-3042,dyum@yahoo.com,38,F,6268.99,MACHINERY,accounts along the doggedly special asymptotes boost blithely during the quickly regular theodolites. slyly,8,Public
164,Latrice,Tolfree,81 Norris Ave #525,Ronkonkoma,Suffolk,NY,11779,631-957-7624,latrice.tolfree@hotmail.com,51,M,208.45,HOUSEHOLD,"ironic, special pinto beans. ironic",4,Public
166,Dorthy,Hidvegi,9635 S Main St,Boise,Ada,ID,83704,208-649-2373,dhidvegi@yahoo.com,23,M,2042.21,FURNITURE,the packages. blithely final packages are furiously unusual asymptotes. regular frets promise carefully u,10,Public
168,Evangelina,Radde,992 Civic Center Dr,Philadelphia,Philadelphia,PA,19123,215-964-3284,evangelina@aol.com,29,M,-808.56,FURNITURE,blithely final accounts sleep quickly along the regular ideas. furiously sly foxes nag across the,12,Public
170,Clay,Hoa,73 Saint Ann St #86,Reno,Washoe,NV,89502,775-501-8109,choa@hoa.org,32,F,7687.89,BUILDING,regular requests. carefully regu,15,Public
172,Irma,Wolfgramm,9745 W Main St,Randolph,Morris,NJ,7869,973-545-7355,irma.wolfgramm@hotmail.com,44,F,1134.40,MACHINERY,"losely regular, unusual instructions. ",22,Public
174,Sylvia,Cousey,287 Youngstown Warren Rd,Hampstead,Carroll,MD,21074,410-209-9545,sylvia_cousey@cousey.org,49,M,1944.73,FURNITURE,oldly even requests haggle quickly blithely ironic accounts. idly final foxes doze slyly pending dep,23,Public
176,Layla,Springe,229 N Forty Driv,New York,New York,NY,10011,212-260-3151,layla.springe@cox.net,31,M,-375.76,FURNITURE,uriously. final requests sleep ironic packages. quickly,13,Public
178,Annabelle,Boord,523 Marquette Ave,Concord,Middlesex,MA,1742,978-697-6263,annabelle.boord@cox.net,32,F,2272.50,FURNITURE,unts. blithely regular dependencies kindle pending deposits. quietly express deposits wake above the Tiresias-- ex,21,Public
180,Nelida,Sawchuk,3 State Route 35 S,Paramus,Bergen,NJ,7652,201-971-1638,nelida@gmail.com,47,M,-92.58,FURNITURE,lar accounts sublate above the slyly final,13,Public
182,Carmela,Cookey,9 Murfreesboro Rd,Chicago,Cook,IL,60623,773-494-4195,ccookey@cookey.org,46,F,4810.22,AUTOMOBILE,quickly against the blithely even deposits; epitaphs unwind quickly along the carefully regular excuses. furio,3,Public
184,Claribel,Varriano,6 Harry L Dr #6327,Perrysburg,Wood,OH,43551,419-544-4900,claribel_varriano@cox.net,34,F,170.46,AUTOMOBILE,hely according to the furiously unusual accounts. furiously bold platele,21,Public
186,Hillary,Skulski,9 Wales Rd Ne #914,Homosassa,Citrus,FL,34448,352-242-2570,hillary.skulski@aol.com,72,F,8737.50,HOUSEHOLD,e slyly final dependencies. unusual instructions against the carefully pending instructions boost quickly,3,Public
188,Teri,Ennaco,99 Tank Farm Rd,Hazleton,Luzerne,PA,18201,570-889-5187,tennaco@gmail.com,28,F,9533.37,BUILDING,"st slyly special platelets. bold,",5,Public
190,Georgene,Montezuma,98 University Dr,San Ramon,Contra Costa,CA,94583,925-615-5185,gmontezuma@cox.net,43,M,1657.46,AUTOMOBILE,uickly-- fluffily pending instructions boo,11,Public
192,Lemuel,Latzke,70 Euclid Ave #722,Bohemia,Suffolk,NY,11716,631-748-6479,lemuel.latzke@gmail.com,25,M,8239.96,MACHINERY,ely unusual packages are fluffily,10,Public
194,Candida,Corbley,406 Main St,Somerville,Somerset,NJ,8876,908-275-8357,candida_corbley@hotmail.com,43,M,6696.49,HOUSEHOLD,"quickly across the fluffily dogged requests. regular platelets around the ironic, even requests cajole quickl",16,Public
196,Andra,Scheyer,9 Church St,Salem,Marion,OR,97302,503-516-2189,andra@gmail.com,38,F,7760.33,FURNITURE,accounts wake. express instructions according to the s,18,Public
198,Belen,Strassner,5384 Southwyck Blvd,Douglasville,Douglas,GA,30135,770-507-8791,belen_strassner@aol.com,23,M,3824.76,AUTOMOBILE,tions. slyly ironic waters wa,1,Public
200,Jolanda,Hanafan,37855 Nolan Rd,Bangor,Penobscot,ME,4401,207-458-9196,jhanafan@gmail.com,72,F,9967.60,BUILDING,"e after the ironic, even realms. fluffily regular packages doze-- courts haggle carefully! blithely",16,Public
202,Helga,Fredicks,42754 S Ash Ave,Buffalo,Erie,NY,14228,716-752-4114,helga_fredicks@yahoo.com,49,M,2237.64,AUTOMOBILE,fully along the carefully pending Tiresias; special packages along the carefully special deposits try to,7,Public
204,Fausto,Agramonte,5 Harrison Rd,New York,New York,NY,10038,212-313-1783,fausto_agramonte@yahoo.com,71,M,-627.76,BUILDING,"ages. accounts wake slyly. dolphins nag blithely. final, regular requests haggle blithely furiously even ",6,Public
206,Marge,Limmel,189 Village Park Rd,Crestview,Okaloosa,FL,32536,850-430-1663,marge@gmail.com,74,F,-274.79,AUTOMOBILE,the carefully regular foxes. regular accounts wake furiously braids. bold ideas are carefu,9,Public
208,Aliza,Baltimore,1128 Delaware St,San Jose,Santa Clara,CA,95132,408-504-3552,aliza@aol.com,34,F,6239.89,MACHINERY,le carefully according to the quickly silent packages. quickly ironic packages affix according to the ruthles,19,Public
210,Viola,Bitsuie,70 Mechanic St,Northridge,Los Angeles,CA,91325,818-864-4875,viola@gmail.com,74,F,7250.14,HOUSEHOLD,nusual instructions sleep regular acc,20,Public
212,Willodean,Konopacki,55 Hawthorne Blvd,Lafayette,Lafayette,LA,70506,337-253-8384,willodean_konopacki@konopacki.org,67,M,957.58,BUILDING,symptotes are blithely special pinto beans. blithely ironic,7,Public
214,Rebecka,Gesick,2026 N Plankinton Ave #3,Austin,Travis,TX,78754,512-213-8574,rgesick@gesick.org,54,F,1526.59,MACHINERY,grow. fluffily regular pinto beans according to the regular accounts affix quickly pe,8,Public
216,Glen,Bartolet,8739 Hudson St,Vashon,King,WA,98070,206-697-5796,glen_bartolet@hotmail.com,39,M,-776.08,FURNITURE,hely at the pending warhorses; blithe,21,Public
218,Vincent,Meinerding,4441 Point Term Mkt,Philadelphia,Philadelphia,PA,19143,215-372-1718,vincent.meinerding@hotmail.com,66,F,9541.19,MACHINERY,lar courts. furiously pending dependencies cajole blithely? fluffily regular deposits cajol,4,Public
220,Glendora,Sarbacher,2140 Diamond Blvd,Rohnert Park,Sonoma,CA,94928,707-653-8214,gsarbacher@gmail.com,34,F,9131.64,BUILDING," even, even accounts are. ironic ",16,Public
222,Cristy,Lother,3989 Portage Tr,Escondido,San Diego,CA,92025,760-971-4322,cristy@lother.com,49,M,8893.76,BUILDING,regular accounts haggle furiously around the c,1,Public
224,Tracey,Modzelewski,77132 Coon Rapids Blvd Nw,Conroe,Montgomery,TX,77301,936-264-9294,tracey@hotmail.com,44,F,8465.15,BUILDING,"counts. bold packages doubt according to the furiously pending packages. bold, regular pinto beans ",15,Public
226,Tiera,Frankel,87 Sierra Rd,El Monte,Los Angeles,CA,91731,626-636-4117,tfrankel@aol.com,60,F,9008.61,AUTOMOBILE,ic packages. ideas cajole furiously slyly special theodolites: carefully express pinto beans acco,3,Public
228,Earleen,Mai,75684 S Withlapopka Dr #32,Dallas,Dallas,TX,75227,214-289-1973,earleen_mai@cox.net,22,F,6868.12,FURNITURE,blithely ironic theodolites,20,Public
230,Ressie,Auffrey,23 Palo Alto Sq,Miami,Miami-Dade,FL,33134,305-604-8981,ressie.auffrey@yahoo.com,54,F,1682.83,MACHINERY,c decoys impress even deposits. thinly final asymptotes,21,Public
232,Eladia,Saulter,3958 S Dupont Hwy #7,Ramsey,Bergen,NJ,7446,201-474-4924,eladia@saulter.com,54,F,554.71,HOUSEHOLD,"ges sleep. final, bold theodolites are quickly final packages. furiously ironic packages are slyly fi",22,Public
234,Gwenn,Suffield,3270 Dequindre Rd,Deer Park,Suffolk,NY,11729,631-258-6558,gwenn_suffield@suffield.org,57,M,8383.51,AUTOMOBILE,fluffily regular ideas play s,18,Public
236,Yoko,Fishburne,9122 Carpenter Ave,New Haven,New Haven,CT,6511,203-506-4706,yoko@fishburne.com,28,F,5384.59,AUTOMOBILE,te slyly along the requests. carefully final requests sleep slyly blithe frets. furiously ruthless dep,14,Public
238,Katina,Polidori,5 Little River Tpke,Wilmington,Middlesex,MA,1887,978-626-2978,katina_polidori@aol.com,24,F,3482.32,HOUSEHOLD,"uffily ironic theodolites are. regular, regular ideas cajole according to the blithely pending epitaphs. slyly ",16,Public
240,Alex,Loader,37 N Elm St #916,Tacoma,Pierce,WA,98409,253-660-7821,alex@loader.com,75,M,7139.68,MACHINERY,al accounts about the slyly pending p,9,Public
242,Lauran,Burnard,66697 Park Pl #3224,Riverton,Fremont,WY,82501,307-342-7795,lburnard@burnard.com,25,M,1975.41,MACHINERY,riously ironic pinto beans cajole silently. regular foxes wake slyly. bravely,3,Public
244,My,Rantanen,8 Mcarthur Ln,Richboro,Bucks,PA,18954,215-491-5633,my@hotmail.com,37,M,2506.38,HOUSEHOLD,encies. requests nag carefully. regularly final accounts h,15,Public
246,Peggie,Sturiale,9 N 14th St,El Cajon,San Diego,CA,92020,619-608-1763,peggie@cox.net,33,M,9584.96,AUTOMOBILE,requests shall have to integrate furiously pending courts. sil,15,Public
248,Daron,Dinos,18 Waterloo Geneva Rd,Highland Park,Lake,IL,60035,847-233-3075,daron_dinos@cox.net,51,M,8908.35,FURNITURE,s detect blithely. blithely pending dolphins along the fluffily final accounts haggle fu,10,Public
250,Portia,Stimmel,3732 Sherman Ave,Bridgewater,Somerset,NJ,8807,908-722-7128,portia.stimmel@aol.com,20,F,2869.97,FURNITURE,s. slyly unusual instructions cajole quickly carefully bold dep,16,Public
252,Benedict,Sama,4923 Carey Ave,Saint Louis,Saint Louis City,MO,63104,314-787-1588,bsama@cox.net,71,M,3561.74,FURNITURE,ngside of the pending foxes. furiously ironic requests wake. blithely ironic acco,16,Public
254,Heike,Berganza,3 Railway Ave #75,Little Falls,Passaic,NJ,7424,973-936-5095,heike@gmail.com,27,M,1915.35,MACHINERY,equests. carefully ironic deposits detect carefully abo,1,Public
1,James,Butt,6649 N Blue Gum St,New Orleans,Orleans,LA,70116,504-621-8927,jbutt@gmail.com,29,M,711.56,BUILDING,"to the even, regular platelets. regular, ironic epitaphs nag e",15,Private
