C_CUSTKEY,C_EMAIL,C_ACCTBAL
110,tiffiny_steffensmeier@cox.net,7462.99
112,sue@aol.com,2953.35
114,rolland@cox.net,1027.46
116,gkulzer@kulzer.org,8403.99
118,brandon_callaro@hotmail.com,3582.37
120,oretha_menter@yahoo.com,363.75
122,xuan@gmail.com,7865.46
124,devora_perez@perez.org,1842.49
126,rpapasergi@cox.net,1001.39
128,van.shire@shire.com,-986.96
130,bok.isaacs@aol.com,5073.58
132,hpaulas@gmail.com,162.57
134,thurman.manno@yahoo.com,4608.90
136,beatriz@yahoo.com,-842.39
138,nieves_gotter@gmail.com,430.59
140,vklimek@klimek.org,9963.15
142,sheridan.zane@zane.com,2209.81
144,audra@kohnert.com,6417.31
146,fjillson@aol.com,3328.68
148,chau@gmail.com,2135.60
150,cheryl@haroldson.org,3849.48
152,carissa.batman@yahoo.com,1215.18
154,oshealy@hotmail.com,4695.12
156,reita.leto@gmail.com,9302.95
158,lizette.stem@aol.com,6160.95
160,cdeleo@deleo.com,4363.17
162,dyum@yahoo.com,6268.99
164,latrice.tolfree@hotmail.com,208.45
166,dhidvegi@yahoo.com,2042.21
168,evangelina@aol.com,-808.56
170,choa@hoa.org,7687.89
172,irma.wolfgramm@hotmail.com,1134.40
174,sylvia_cousey@cousey.org,1944.73
176,layla.springe@cox.net,-375.76
178,annabelle.boord@cox.net,2272.50
180,nelida@gmail.com,-92.58
182,ccookey@cookey.org,4810.22
184,claribel_varriano@cox.net,170.46
186,hillary.skulski@aol.com,8737.50
188,tennaco@gmail.com,9533.37
190,gmontezuma@cox.net,1657.46
192,lemuel.latzke@gmail.com,8239.96
194,candida_corbley@hotmail.com,6696.49
196,andra@gmail.com,7760.33
198,belen_strassner@aol.com,3824.76
1,jbutt@gmail.com,711.56
3,art@venere.org,7498.12
5,donette.foller@cox.net,794.47
7,mitsue_tollner@yahoo.com,9561.95
9,sage_wieser@cox.net,8324.07
11,minna_amigon@yahoo.com,-272.60
13,kiley.caldarera@aol.com,3857.34
15,calbares@gmail.com,2788.52
17,meaghan@hotmail.com,6.34
19,yuki_whobrey@aol.com,8914.71
21,bette_nicka@cox.net,1428.25
23,willard@hotmail.com,3332.02
25,alisha@slusarski.com,7133.70
27,chanel.caudy@caudy.org,5679.84
29,wkusko@yahoo.com,7618.27
31,ammie@corrio.com,5236.89
33,ernie_stenseth@aol.com,-78.56
35,asergi@gmail.com,1228.24
37,jose@yahoo.com,-917.75
39,valentine_gillian@gmail.com,6264.31
41,youlanda@aol.com,270.95
43,roxane@hotmail.com,9904.28
45,erick.ferencz@aol.com,9983.38
47,jina_briddick@briddick.com,274.58
49,emerson.bowley@bowley.org,4573.94
51,bbolognia@yahoo.com,855.87
53,sabra@uyetake.org,4113.64
55,karl_klonowski@yahoo.com,4572.11
57,amber_monarrez@monarrez.org,4151.93
59,delmy.ahle@hotmail.com,3458.60
61,bpugh@aol.com,1536.24
63,cecily@hollack.org,9331.13
65,maurine_yglesias@yglesias.com,8795.16
67,penney_weight@aol.com,8166.59
69,ilene.eroman@hotmail.com,1709.28
71,kallie.blackwood@gmail.com,-611.19
73,brhym@rhym.com,4288.50
75,tamar@hotmail.com,6684.10
77,laurel_reitler@reitler.com,1738.87
79,viva.toelkes@gmail.com,5121.28
81,devorah@hotmail.com,2023.71
83,ahoneywell@honeywell.com,6463.51
85,lettie_isenhower@yahoo.com,3386.64
87,stephaine@barfield.com,6327.54
89,stephen_emigh@hotmail.com,1530.76
91,twardrip@cox.net,4643.14
93,danica_bruschke@gmail.com,2182.52
95,elvera.benimadho@cox.net,5327.38
97,malinda.hochard@yahoo.com,2164.48
99,lisha@centini.org,4088.65
101,alease@buemi.com,7470.96
103,angella.cetta@hotmail.com,2757.45
105,rosio.cork@gmail.com,9091.82
107,twana.felger@felger.org,2514.15
109,dkines@hotmail.com,-716.10
111,emiceli@miceli.org,6505.26
113,jshin@shin.com,2912.00
115,pamella.schmierer@schmierer.org,7508.92
117,shawna_palaspas@palaspas.org,3950.83
119,scarlet.cartan@yahoo.com,3930.35
121,tsmith@aol.com,6428.32
123,lindsey.dilello@hotmail.com,5897.83
125,hdemesa@cox.net,-234.12
127,talia_riopelle@aol.com,9280.71
129,lucina_lary@cox.net,9127.27
131,rolande.spickerman@spickerman.com,8595.53
133,kimbery_madarang@cox.net,2314.67
135,becky.mirafuentes@mirafuentes.com,8732.91
137,marti.maybury@yahoo.com,7838.30
139,lhagele@cox.net,7897.78
141,melissa@cox.net,6706.14
143,bulah_padilla@hotmail.com,2186.50
145,dweirather@aol.com,9748.93
147,gearldine_gellinger@gellinger.com,8071.40
149,theola_frey@frey.com,8959.65
151,lmerced@gmail.com,5187.02
153,lezlie.craghead@craghead.org,5454.26
155,arminda@parvis.com,5902.85
157,yolando@cox.net,9768.73
159,gpawlowicz@yahoo.com,2060.06
161,chantell@yahoo.com,3714.06
163,larae_gudroe@gmail.com,2948.61
165,kerry.theodorov@gmail.com,3349.92
167,fannie.lungren@yahoo.com,1468.09
169,novella_degroot@degroot.org,4483.83
171,jfallick@yahoo.com,2379.91
173,eun@yahoo.com,845.84
175,nana@aol.com,1975.35
177,joesph_degonia@degonia.org,7457.50
179,stephaine@cox.net,-43.08
181,marguerita.hiatt@gmail.com,3929.96
183,jbrideau@aol.com,4419.89
185,benton.skursky@aol.com,2788.76
187,merilyn_bayless@cox.net,-774.22
189,merlyn_lawler@hotmail.com,-594.05
191,jmconnell@hotmail.com,2945.16
193,mknipp@gmail.com,8024.55
195,karan_karpin@gmail.com,4873.91
197,fpoullion@poullion.com,9860.22
199,gracia@melnyk.com,7654.31
402,mollie_mcdoniel@yahoo.com,2106.67
404,teddy_pedrozo@aol.com,7408.73
406,hubert@walthall.org,4286.94
408,vberlanga@berlanga.com,6825.37
410,glenna_slayton@cox.net,4349.27
412,bernardine_rodefer@yahoo.com,6044.02
414,nichelle_meteer@meteer.com,527.78
416,ettie.hoopengardner@hotmail.com,4365.28
418,lynelle_auber@gmail.com,1211.39
420,golda_kaniecki@yahoo.com,1999.35
422,vkiel@hotmail.com,-272.14
424,keneth@yahoo.com,1866.42
426,elke_sengbusch@yahoo.com,7818.25
428,trinidad_mcrae@yahoo.com,1952.36
430,selma.husser@cox.net,7905.17
432,ljurney@hotmail.com,5715.64
434,dick@yahoo.com,2940.46
436,iluminada.ohms@yahoo.com,5896.87
438,caprice@aol.com,2131.13
440,quentin_swayze@yahoo.com,1809.04
442,shonda_greenbush@cox.net,4157.00
444,jeanice.claucherty@yahoo.com,1505.27
902,xxx@tmail.com,679.00
904,xxx@tmail.com,2335.00
906,xxx@tmail.com,3582.00
908,xxx@tmail.com,2309.00
910,xxx@tmail.com,2380.00
912,xxx@tmail.com,4581.00
914,xxx@tmail.com,4807.00
916,xxx@tmail.com,2590.00
918,xxx@tmail.com,2726.00
920,xxx@tmail.com,2132.00
922,xxx@tmail.com,4404.00
924,xxx@tmail.com,3317.00
926,xxx@tmail.com,4327.00
928,xxx@tmail.com,1957.00
930,xxx@tmail.com,3232.00
932,xxx@tmail.com,4689.00
934,xxx@tmail.com,3112.00
936,xxx@tmail.com,1322.00
938,xxx@tmail.com,4265.00
940,xxx@tmail.com,3329.00
942,xxx@tmail.com,3642.00
944,xxx@tmail.com,2086.00
946,xxx@tmail.com,3256.00
948,xxx@tmail.com,4472.00
950,xxx@tmail.com,826.00
952,xxx@tmail.com,2427.00
954,xxx@tmail.com,2025.00
956,xxx@tmail.com,682.00
958,xxx@tmail.com,1599.00
960,xxx@tmail.com,3221.00
962,xxx@tmail.com,4261.00
964,xxx@tmail.com,2485.00
966,xxx@tmail.com,1085.00
968,xxx@tmail.com,3080.00
970,xxx@tmail.com,4653.00
972,xxx@tmail.com,1667.00
974,xxx@tmail.com,1356.00
976,xxx@tmail.com,1224.00
978,xxx@tmail.com,1712.00
980,xxx@tmail.com,3659.00
982,xxx@tmail.com,4121.00
984,xxx@tmail.com,3253.00
986,xxx@tmail.com,3146.00
988,xxx@tmail.com,2790.00
990,xxx@tmail.com,3326.00
992,xxx@tmail.com,672.00
994,xxx@tmail.com,2345.00
996,xxx@tmail.com,748.00
998,xxx@tmail.com,3392.00
901,xxx@tmail.com,4338.00
903,xxx@tmail.com,4263.00
905,xxx@tmail.com,4494.00
907,xxx@tmail.com,2976.00
909,xxx@tmail.com,2225.00
911,xxx@tmail.com,296.00
913,xxx@tmail.com,3743.00
915,xxx@tmail.com,3856.00
917,xxx@tmail.com,3386.00
919,xxx@tmail.com,955.00
921,xxx@tmail.com,2992.00
923,xxx@tmail.com,274.00
925,xxx@tmail.com,3689.00
927,xxx@tmail.com,4329.00
929,xxx@tmail.com,3464.00
931,xxx@tmail.com,2856.00
933,xxx@tmail.com,3183.00
935,xxx@tmail.com,3003.00
937,xxx@tmail.com,3890.00
939,xxx@tmail.com,612.00
941,xxx@tmail.com,2439.00
943,xxx@tmail.com,2386.00
945,xxx@tmail.com,2086.00
947,xxx@tmail.com,404.00
949,xxx@tmail.com,4584.00
951,xxx@tmail.com,3590.00
953,xxx@tmail.com,2502.00
955,xxx@tmail.com,1545.00
957,xxx@tmail.com,1362.00
959,xxx@tmail.com,3895.00
961,xxx@tmail.com,3352.00
963,xxx@tmail.com,1737.00
965,xxx@tmail.com,1983.00
967,xxx@tmail.com,4901.00
969,xxx@tmail.com,4366.00
971,xxx@tmail.com,4368.00
973,xxx@tmail.com,4302.00
975,xxx@tmail.com,2226.00
977,xxx@tmail.com,4373.00
979,xxx@tmail.com,3758.00
981,xxx@tmail.com,1189.00
983,xxx@tmail.com,489.00
985,xxx@tmail.com,2318.00
987,xxx@tmail.com,1050.00
989,xxx@tmail.com,1713.00
991,xxx@tmail.com,1593.00
993,xxx@tmail.com,2173.00
995,xxx@tmail.com,4258.00
997,xxx@tmail.com,3762.00
999,xxx@tmail.com,2907.00
1000,xxx@tmail.com,1780.00
446,dperruzza@perruzza.com,9225.60
448,britt@galam.org,8117.27
450,jacqueline.rowling@yahoo.com,5544.42
452,lonna_diestel@gmail.com,6633.70
454,kenneth.grenet@grenet.org,6134.40
456,ajeanty@gmail.com,8815.78
458,nu@gmail.com,-38.42
460,cecilia_colaizzo@colaizzo.com,5222.83
462,nan@koppinger.com,4522.60
464,tegan.arceo@arceo.org,8730.85
466,joni_breland@cox.net,3168.41
468,colette.kardas@yahoo.com,9834.19
470,ryan@cox.net,3597.53
472,sbourbon@yahoo.com,7929.90
474,gary_nunlee@nunlee.org,9165.47
476,roslyn.chavous@chavous.org,5973.10
478,rasheeda@aol.com,-210.40
480,refugia.jacobos@jacobos.com,2750.71
482,mdelasancha@hotmail.com,4333.37
484,jgabisi@hotmail.com,4245.00
486,loren.asar@aol.com,7487.40
488,gail_similton@similton.com,-275.58
490,lawrence.lorens@hotmail.com,-213.85
492,tankeny@ankeny.org,8635.18
494,alesia_hixenbaugh@hixenbaugh.org,6295.47
496,bgillaspie@gillaspie.com,8174.82
498,flo.bookamer@cox.net,3945.64
401,cordelia_storment@aol.com,4146.43
403,brett.mccullan@mccullan.com,6693.36
405,tasia_andreason@yahoo.com,7519.14
407,arthur.farrow@yahoo.com,9537.08
409,billye_miro@cox.net,3969.86
411,mitzie_hudnall@yahoo.com,1209.32
413,staci_schmaltz@aol.com,5817.90
415,jrhoden@yahoo.com,2317.93
417,eden_jayson@yahoo.com,6187.73
419,merissa.tomblin@gmail.com,7786.69
421,catarina_gleich@hotmail.com,7073.17
423,jolene@yahoo.com,95.79
425,rikki@nayar.com,5824.88
427,hoa@sarao.org,4376.80
429,mari_lueckenbach@yahoo.com,9247.21
431,aonofrio@onofrio.com,2273.50
433,clorinda.heimann@hotmail.com,8746.23
435,ahmed.angalich@angalich.com,6217.46
437,joanna_leinenbach@hotmail.com,7760.52
439,stephane_myricks@cox.net,-61.29
441,annmarie_castros@gmail.com,9451.84
443,clapage@lapage.com,3726.22
445,josphine_villanueva@villanueva.com,8018.81
447,cassi.wildfong@aol.com,7665.98
449,adell.lipkin@lipkin.com,3001.94
451,lonny_weglarz@gmail.com,2110.59
453,cristal@cox.net,5678.18
455,emclaird@mclaird.com,6860.34
457,sharika.eanes@aol.com,5867.61
459,dcomnick@cox.net,1207.97
461,leslie@cox.net,9177.63
463,idewar@dewar.com,-654.50
465,ruthann@hotmail.com,8432.74
467,vrentfro@cox.net,9398.51
469,malcolm_tromblay@cox.net,6343.64
471,jess.chaffins@chaffins.org,5716.90
473,nickolas_juvera@cox.net,-202.22
475,diane@cox.net,9043.55
477,glory@yahoo.com,1836.61
479,alpha@yahoo.com,3653.64
481,shawnda.yori@yahoo.com,7157.21
483,gilma_liukko@gmail.com,8877.20
485,lili.paskin@cox.net,8695.45
487,dorothy@cox.net,9749.37
489,catalina@hotmail.com,8255.83
491,carlee.boulter@hotmail.com,785.37
493,joles@gmail.com,6582.04
495,lai@gmail.com,7997.81
497,rkampa@kampa.org,2191.59
499,jbiddy@yahoo.com,4293.76
500,chauncey_motley@aol.com,3300.82
